_id,pro_code,province,provin_en,cnp,cnp_seat,fcp,fcp_seat,rdp,rdp_seat,cpp,cpp_seat,edp,edp_seat,kapp,kapp_seat,cnrp,cnrp_seat,ldp,ldp_seat,vote,total_seat,reg_v,reference
1,1,បន្ទាយមានជ័យ,Banteay Meanchey,1768,0,30105,0,1962,0,148593,4,,,1432,0,64732,2,2338,0,250930,6,471820,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
2,2,បាត់ដំបង,Battambang,2582,0,15815,0,2696,0,223733,5,,,2741,0,162527,3,7755,0,417849,8,706874,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
3,3,កំពង់ចាម,Kampong Cham,6464,0,26202,0,,,376182,8,,,8938,0,457819,10,6748,0,882353,18,1285845,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
4,4,កំពង់ឆ្នាំង,Kampong Chhnang,1281,0,14533,0,1315,0,123341,2,1803,0,1441,0,96210,2,1606,0,241530,4,322956,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
5,5,កំពង់ស្ពឺ,Kampong Speu,1958,0,12449,0,2146,0,180099,3,3111,0,2471,0,186867,3,4008,0,393109,6,519508,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
6,6,កំពង់ធំ,Kampong Thom,2326,0,22934,0,2740,0,128799,3,4127,0,2344,0,115880,3,2634,0,281784,6,437404,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
7,7,កំពត,Kampot,1473,0,11335,0,2106,0,147265,3,3055,0,2074,0,125320,3,2450,0,295078,6,436402,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
8,8,កណ្តាល,Kandal,2152,0,8285,0,1434,0,261587,5,2579,0,2533,0,366056,6,4111,0,648737,11,843522,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
9,9,កោះកុង,Koh Kong,377,0,1527,0,386,0,28632,1,,,341,0,11017,0,439,0,42719,1,78387,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
10,10,ក្រចេះ,Kratie,1417,0,4750,0,1337,0,71052,2,,,1294,0,59774,1,1286,0,140910,3,208952,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
11,11,មណ្ឌលគិរី,Mondul Kiri,366,0,963,0,379,0,17380,1,,,,,4244,0,211,0,23543,1,37028,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
12,12,ភ្នំពេញ,Phnom Penh,1257,0,7820,0,995,0,257351,5,,,2047,0,382880,7,4904,0,657254,12,998827,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
13,13,ព្រះវិហារ,Preah Vihear,1030,0,4522,0,1470,0,53935,1,,,905,0,19199,0,1087,0,82148,1,124844,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
14,14,ព្រៃវែង,Prey Veng,3582,0,13243,0,2324,0,251689,5,,,3465,0,287778,6,6536,0,568617,11,809020,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
15,15,ពោធិ៍សាត់,Pursat,731,0,3384,0,1202,0,142135,3,1306,0,834,0,48417,1,1239,0,199248,4,278044,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
16,16,រតនគិរី,Ratanak Kiri,582,0,1917,0,791,0,39630,1,,,407,0,7821,0,489,0,51637,1,84163,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
17,17,សៀមរាប,Siem Reap,3239,0,30338,0,4362,0,193093,4,,,3785,0,140737,2,11319,0,386873,6,576114,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
18,18,ព្រះសីហនុ,Preah Sihanouk,458,0,2310,0,505,0,50110,1,,,555,0,30558,0,679,0,85175,1,126937,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
19,19,ស្ទឹងត្រែង,Stung Treng,502,0,2545,0,571,0,34032,1,,,312,0,6962,0,375,0,45299,1,67538,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
20,20,ស្វាយរៀង,Svay Rieng,1722,0,6377,0,1659,0,183258,3,,,1674,0,99600,2,2479,0,296769,5,398807,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
21,21,តាកែវ,Takeo,1713,0,14724,0,1992,0,245387,4,3171,0,2455,0,236686,4,3615,0,509743,8,660151,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
22,23,កែប,Kep,101,0,739,0,,,14299,1,,,209,0,4165,0,109,0,19622,1,25665,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
23,24,ប៉ៃលិន,Pailin,143,0,707,0,167,0,16536,1,,,149,0,8959,0,258,0,26919,1,40312,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
24,22,ឧត្តរមានជ័យ,Otdar Meanchey,899,0,4889,0,1176,0,47851,1,,,816,0,21968,0,1714,0,79313,1,136333,The_Official_Results_by_Parties__11.09.2013.pdf;National_Election_Committee_number_of_seats_allocated_by_province_national_assembly_election _01.05.2013.pdf
